rank,parent_institution,urls_scanned,reachable,coverage_pct
139,"Bridgewater State University, Bridgewater, Massachusetts",8,8,100.0
140,Carl Albert State College,8,8,100.0
141,Florida Polytechnic University,8,8,100.0
142,Grinnell College,8,8,100.0
143,Catholic University of Eastern Africa,8,8,100.0
144,Elgin Community College (ECC) Homepage,8,8,100.0
145,Kent State University,8,7,87.5
146,A Top Christian College in Southern California,8,8,100.0
147,Harvey Mudd College,8,8,100.0
148,Asbury Theological Seminary,8,8,100.0
149,Hope College,8,8,100.0
150,Houghton College,8,8,100.0
151,Bay de Noc Community College,8,8,100.0
152,Bentley University,8,8,100.0
153,Calumet College of St. Joseph,8,8,100.0
154,Eastern Arizona College Homepage,8,8,100.0
155,High Point University © 2012,8,8,100.0
156,Central Methodist College,8,8,100.0
157,DigiPen Institute of Technology,8,8,100.0
158,Carteret Community College,8,8,100.0
159,Columbia College of Missouri,8,8,100.0
160,Concordia College,8,7,87.5
161,Hesston College,8,8,100.0
162,Fashion Institute of Technology,8,8,100.0
163,Ivy Tech Community College of Indiana,8,8,100.0
164,Florida SouthWestern State College,8,8,100.0
165,Bible Colleges,7,7,100.0
166,Columbia College Chicago,7,7,100.0
167,"Abilene Christian University, a Christian college in Abilene, Texas",7,7,100.0
168,Fitchburg State University,7,7,100.0
169,"Alliant International University; California Graduate Schools, Graduate Degrees; Undergraduate Bachelors Completion Degrees",7,7,100.0
170,Amrita University,7,7,100.0
171,Bakersfield College,7,7,100.0
172,College of the Canyons,7,6,85.7
173,Central Penn College,7,7,100.0
174,Claflin University,7,7,100.0
175,Coe College,7,7,100.0
176,"Ithaca College, Ithaca, NY",7,7,100.0
177,Keene State College,7,7,100.0
178,American University Washington D.C.,7,7,100.0
179,American Career College,7,7,100.0
180,Augustana College (IL),7,7,100.0
181,Bethel College St. Paul,7,7,100.0
182,Chapman University,7,7,100.0
183,Augusta University,7,7,100.0
184,Belmont University,7,7,100.0
185,Garrett College,7,6,85.7
186,College of Mount St. Joseph,7,7,100.0
187,Brenau University,7,7,100.0
188,Foothill-De Anza Community College District,7,7,100.0
189,Butler University,7,7,100.0
190,Baldwin Wallace University,7,7,100.0
191,California Baptist University (CBU),7,7,100.0
192,Grambling State University,7,7,100.0
193,Grand Valley State University,7,7,100.0
194,John Cabot University,7,7,100.0
195,Thomas Jefferson University   Jefferson Medical College   Jefferson College of Graduate Studies   Jefferson School of Health Profession   Jefferson School of Nursing   Jefferson School of Pharmacy   Jefferson School of Population Health,7,7,100.0
196,Islamic University of Technology,7,7,100.0
197,Community College System of New Hampshire,7,7,100.0
198,Ferris State University,7,7,100.0
199,Delaware County Community College,7,7,100.0
200,Delta State University,7,7,100.0
201,Howard Community College,7,7,100.0
202,Christian University,7,7,100.0
203,Essex County College,7,7,100.0
204,Fairleigh Dickinson University (FDU),7,7,100.0
205,"Huntingdon College, Montgomery, Alabama * Experience the Tradition, Know and Be Known.",7,6,85.7
206,Karlsruhe Institute of Technology,7,7,100.0
207,Academy of Art University,6,6,100.0
208,Hope International University,6,6,100.0
209,Aims Community College,6,6,100.0
210,"Broward College, formerly Broward Community College",6,6,100.0
211,College of DuPage,6,6,100.0
212,Bethune-Cookman University,6,6,100.0
213,Glion Institute of Higher Education,6,6,100.0
214,Illinois College of Optometry,6,6,100.0
215,Idaho State University,6,6,100.0
216,Janus University California,6,6,100.0
217,Andrews University,6,6,100.0
218,Bryan College,6,6,100.0
219,California Community Colleges Chancellor\'s Office,6,6,100.0
220,[LWC] Lindsey Wilson College,6,6,100.0
221,American Public University System,6,6,100.0
222,Bluefield State College,6,6,100.0
223,La Salle University,6,6,100.0
224,"Home » Saint Mary\'s College, Notre Dame, IN",6,6,100.0
225,Austin Peay State University,6,6,100.0
226,Ateneo de Manila University,6,6,100.0
227,American University in Cairo,6,6,100.0
228,Boston College,6,6,100.0
229,Bemidji State University,6,6,100.0
230,Bethlehem University,6,6,100.0
231,Bob Jones University,6,6,100.0
232,Fox Valley Technical College Home Page,6,6,100.0
233,Georgia Medical Institute (GMI) is now Everest,6,5,83.3
234,Harford Community College,6,6,100.0
235,Hilbert College,6,6,100.0
236,Boise State University,6,6,100.0
237,Butte College,6,6,100.0
238,College of San Mateo,6,6,100.0
239,Endicott College in Beverly Massachusetts,6,6,100.0
240,Calvin College,6,6,100.0
241,Eckerd College,6,6,100.0
242,Catawba College,6,6,100.0
243,College of Biblical Studies,6,6,100.0
244,Clear Creek Baptist Bible College,6,6,100.0
245,Kankakee Community College Home,6,6,100.0
246,Champlain College,6,6,100.0
247,Concordia University,6,5,83.3
248,College of the Marshall Islands,6,6,100.0
249,Colgate is a nationally recognized liberal arts college set on a beautiful,6,6,100.0
250,Gettysburg College,6,6,100.0
251,"Futures Inspired l Holyoke Community College, Holyoke, MA",6,6,100.0
252,Central Washington University,6,6,100.0
253,Indiana University/Purdue University at Indianapolis,6,6,100.0
254,Dominican University,6,6,100.0
255,Dunwoody College of Technology,6,6,100.0
256,Fayetteville Technical Community College,6,6,100.0
257,Georgetown University,6,6,100.0
258,Flint Hills Technical College,6,6,100.0
259,Genesee Community College,6,6,100.0
260,Knox College,6,6,100.0
261,Gonzaga University,6,6,100.0
262,Kirtland Community College,6,5,83.3
263,Drew University,5,5,100.0
264,Brigham Young University Hawaii,5,5,100.0
265,Hartford Seminary,5,5,100.0
266,Haverford College in Pennsylvania,5,5,100.0
267,Bradley University,5,5,100.0
268,Chowan College,5,5,100.0
269,Irvine Valley College,5,5,100.0
270,Midwestern Career College,5,5,100.0
271,Africa University,5,5,100.0
272,Aga Khan University,5,5,100.0
273,Alaska Pacific University â Discover Active Learning,5,5,100.0
274,State University of New York,5,4,80.0
275,Allen University,5,5,100.0
276,Alma College,5,5,100.0
277,Abraham Lincoln University,5,5,100.0
278,Aurora University,5,5,100.0
279,Buena Vista University,5,5,100.0
280,Eastern Connecticut State University,5,5,100.0
281,Five Branches University,5,5,100.0
282,"Grove City College in western Pennsylvania offers academically rigorous, affordable college education in a Christian environment just 60 miles from Pittsburgh, Pennsylvania",5,5,100.0
283,Hobe Sound Bible College,5,5,100.0
284,"Indiana Wesleyan University, Marion",5,5,100.0
285,Laguna College of Art and Design,5,5,100.0
286,Amberton University,5,5,100.0
287,Institute for Advanced Study,5,5,100.0
288,Arizona Christian University,5,5,100.0
289,Albany State University,5,5,100.0
290,Bryant and Stratton College,5,5,100.0
291,Colorado Mountain College,5,5,100.0
292,Eastern West Virginia Community and Technical College,5,5,100.0
293,Geneva College,5,5,100.0
294,Grand Rapids Community College,5,5,100.0
295,Isothermal Community College,5,5,100.0
296,Kellogg Community College,5,5,100.0
297,Kilgore College,5,5,100.0
298,Kansas Wesleyan University,5,5,100.0
299,Central Connecticut State University,5,5,100.0
300,College of the Mainland,5,5,100.0
301,Duquesne University,5,5,100.0
302,Assumption College,5,5,100.0
303,Elmira College,5,5,100.0
304,Ahsanullah University of Science & Technology,5,5,100.0
305,Butler County Community College,5,5,100.0
306,Bennington College,5,5,100.0
307,Berean University of the Assemblies of God,5,5,100.0
308,Berklee College of Music,5,5,100.0
309,Berry College,5,5,100.0
310,Blackfeet Community College,5,5,100.0
311,Black Hills State University,5,5,100.0
312,Gardner Webb University,5,5,100.0
313,College of Arts and Sciences & Conservatory of Music,5,5,100.0
314,Cleveland Chiropractic College,5,5,100.0
315,Eastern Mennonite University,5,5,100.0
316,Brescia University,5,5,100.0
317,Bryn Mawr College,5,5,100.0
318,College of Charleston,5,5,100.0
319,Central Christian College of the Bible,5,5,100.0
320,Frederick Community College,5,5,100.0
321,Centre College,5,5,100.0
322,Christopher Newport University,5,5,100.0
323,"California State University, Bakersfield",5,5,100.0
324,"California State University, San Marcos",5,5,100.0
325,"California State University, Stanislaus",5,5,100.0
326,Eastern University,5,5,100.0
327,Eastern Michigan University,5,5,100.0
328,Carrington College California-Sacramento,5,5,100.0
329,"Career College in Miami Dade with Computer, Business, Medical, and Art Classes",5,5,100.0
330,Columbus College of Art and Design,5,5,100.0
331,College of Early Learning,5,5,100.0
332,Chafer Theological Seminary,5,5,100.0
333,Chamberlain College of Nursing,5,5,100.0
334,Chemeketa Community College,5,5,100.0
335,Clackamas Community College,5,4,80.0
336,Clovis Community College,5,5,100.0
337,Converse College,5,5,100.0
338,Clover Park Technical College,5,5,100.0
339,Chadron State College,5,5,100.0
340,Charleston Southern University,5,5,100.0
341,Columbia Theological Seminary,5,5,100.0
342,CUNY Borough of Manhattan Community College,5,5,100.0
343,Frontier Nursing University,5,5,100.0
344,Bible College in Pennsylvania,5,5,100.0
345,Davenport College of Business,5,5,100.0
346,Daytona State College,5,5,100.0
347,Dallas Baptist University,5,5,100.0
348,Dakota County Technical College,5,5,100.0
349,Denver Seminary,5,4,80.0
350,Fairmont State University,5,5,100.0
351,Illinois Benedictine College,5,5,100.0
352,Dakota State University,5,5,100.0
353,Eastern Illinois University,5,5,100.0
354,Eastern Oregon State College,5,5,100.0
355,Husson University,5,5,100.0
356,Kansas City University,5,5,100.0
357,Hampshire College,5,5,100.0
358,Iowa Lakes Community College,5,5,100.0
359,Georgetown College,5,5,100.0
360,Great Falls College Montana State University,5,5,100.0
361,Goshen College,5,5,100.0
362,Hastings College,5,5,100.0
363,John Brown University,5,4,80.0
364,"College Degrees, Nebraska Community College, Online Classes",5,5,100.0
365,Home of Southern Evangelical Seminary,5,5,100.0
366,George C Wallace State Community College-Hanceville,5,5,100.0
367,La\'James International College...LJIC is distinctively different!,5,4,80.0
368,Kalamazoo Valley Community College,5,5,100.0
369,Faulkner University,4,4,100.0
370,"HACC, Central Pennsylvania's Community College Home Page",4,4,100.0
371,Indiana University of Pennsylvania,4,4,100.0
372,Clinton Community College,4,4,100.0
373,Keystone College,4,4,100.0
374,Welcome to Yeshwantrao Chavan College of Engineering,4,4,100.0
375,Ashland University,4,4,100.0
376,American International University - Bangladesh,4,4,100.0
377,Alfred University,4,4,100.0
378,Alfred State College,4,4,100.0
379,Austin Community College,4,4,100.0
380,Clarendon College,4,4,100.0
381,Gwynedd-Mercy College,4,4,100.0
382,Hamline University,4,4,100.0
383,Herzing University,4,4,100.0
384,Hawaii Pacific University,4,4,100.0
385,"California State University, San Jose",4,4,100.0
386,Alverno College,4,4,100.0
387,Alvin Community College,4,4,100.0
388,Amherst College,4,4,100.0
389,Anderson University,4,4,100.0
390,Angelo State University,4,4,100.0
391,Delaware Valley University,4,4,100.0
392,Johns Hopkins University,4,3,75.0
393,"Arkansas State University, Newport",4,4,100.0
394,Bluefield College,4,4,100.0
395,Cayuga County Community College,4,4,100.0
396,Caldwell Community College and Technical Institute,4,3,75.0
397,Columbia College Washington D.C.,4,4,100.0
398,Central Arizona College,4,4,100.0
399,Clayton College & State University,4,4,100.0
400,Colby-Sawyer College,4,4,100.0
401,Erskine College,4,3,75.0
402,Hillsborough Community College Home,4,4,100.0
403,Herkimer County Community College,4,4,100.0
404,Illinois College,4,4,100.0
405,Indian River State College,4,4,100.0
406,Johnson County Community College,4,4,100.0
407,La James College,4,4,100.0
408,Bible Based Christian College,4,4,100.0
409,El Paso Community College,4,3,75.0
410,Asia Pacific Theological Seminary (APTS),4,4,100.0
411,Aquinas College,4,4,100.0
412,Blackhawk Technical College,4,4,100.0
413,Covenant College,4,4,100.0
414,Hamilton College,4,4,100.0
415,Austin College,4,4,100.0
416,Babson College,4,4,100.0
417,Bates College,4,4,100.0
418,Bay Path University,4,4,100.0
419,Benedictine College,4,4,100.0
420,Bryn Athyn College,4,4,100.0
421,Community College of Beaver County,4,4,100.0
422,Concordia University Nebraska,4,4,100.0
423,Bay Mills Community College,4,4,100.0
424,Bowie State University,4,4,100.0
425,Davidson-Davie Community College,4,4,100.0
426,College of the Holy Cross,4,4,100.0
427,Best Liberal Arts Colleges Small and Private,4,4,100.0
428,Bevill State Community College,4,4,100.0
429,Columbia State Community College,4,4,100.0
430,East Carolina University,4,4,100.0
431,Emporia State University,4,4,100.0
432,Gwynedd Mercy University,4,4,100.0
433,Elizabeth City State University,4,4,100.0
434,Colorado Community College System,4,4,100.0
435,"California State University, Dominguez Hills",4,4,100.0
436,"California State University, Sacramento",4,4,100.0
437,Caribbean University,4,4,100.0
438,Carroll University,4,3,75.0
439,Cascadia Community College,4,4,100.0
440,Community College of Allegheny County,4,4,100.0
441,"Centre for Commercial Law Studies (CCLS), Queen Mary, University of London",4,2,50.0
442,City College of San Francisco,4,4,100.0
443,Federico Beauty Institute,4,4,100.0
444,Imperial Valley College,4,3,75.0
445,Charter Oak State College,4,4,100.0
446,Le Cordon Bleu College of Culinary Arts-Chicago,4,0,0.0
447,City University of Seattle,4,4,100.0
448,Coahoma Community College,4,4,100.0
449,Coconino Community College,4,4,100.0
450,Daemen College,4,4,100.0
451,Gustavus Adolphus College,4,4,100.0
452,Crafton Hills College,4,4,100.0
453,Fulton-Montgomery Community College,4,4,100.0
454,Columbus State Community College,4,4,100.0
455,"Chatham University, Pittsburgh, PA",4,4,100.0
456,Del Mar College,4,4,100.0
457,Goodwin College Home,4,4,100.0
458,George Wythe University,4,4,100.0
459,Hindu University of America,4,4,100.0
460,College of Saint Catherine,4,4,100.0
461,Dyersburg State Community College,4,4,100.0
462,Eastern Florida State College,4,4,100.0
463,Elms College,4,4,100.0
464,Goucher College,4,4,100.0
465,Holmes Community College,4,4,100.0
466,Jefferson Community College,4,4,100.0
467,Klamath Community College,4,3,75.0
468,Haskell Indian Nations University,4,4,100.0
469,Franklin and Marshall College,4,4,100.0
470,Franklin Pierce University,4,4,100.0
471,Gallipolis Career College,4,3,75.0
472,Grand Canyon University is a private Christian University in Phoenix,4,4,100.0
473,Georgia Gwinnett College,4,4,100.0
474,Georgia Institute of Cosmetology,4,4,100.0
475,Concordia College - St. Paul,4,4,100.0
476,Graceland University,4,4,100.0
477,Greenville University,4,4,100.0
478,Guilford College,4,4,100.0
479,Holy Cross College,4,4,100.0
480,Johnson University,4,4,100.0
481,Adirondack Community College,4,4,100.0
482,Illinois Eastern Community Colleges,4,4,100.0
483,James A Rhodes State College,4,3,75.0
484,Hollins University,4,4,100.0
485,Hebrew Union College,4,4,100.0
486,Hudson Valley Community College,4,4,100.0
487,KENTUCKY WESLEYAN COLLEGE,4,4,100.0
488,Thomas Jefferson University   Jefferson Medical College   Jefferson College of Graduate Studies   Jefferson,4,4,100.0
489,Indiana Wesleyan University,3,3,100.0
490,Alabama Agricultural and Mechanical University,3,2,66.7
491,American Baptist College,3,3,100.0
492,Connecticut State University System,3,3,100.0
493,Adams State College,3,3,100.0
494,Asia Pacific Institute of Management,3,3,100.0
495,East Central Community College,3,2,66.7
496,"IMDR, The Institute of Management Development and Research, Pune.",3,3,100.0
497,Karunya University,3,3,100.0
498,Adrian College,3,3,100.0
499,Adrian\'s Beauty Colleges,3,3,100.0
500,American International College,3,3,100.0
501,Alamance Community College,3,3,100.0
502,Birzeit University,3,2,66.7
503,"Central Methodist University in Fayette, Missouri",3,3,100.0
504,College of Idaho,3,3,100.0
505,Fielding Institute,3,3,100.0
506,Golden Gate University,3,3,100.0
507,"Harper College, Palatine, Il",3,3,100.0
508,Keiser University,3,2,66.7
509,Anaheim University,3,3,100.0
510,Andrew College,3,3,100.0
511,Home page of the Asia Pacific Maritime Institute,3,3,100.0
512,"Arkansas State University, Beebe",3,3,100.0
513,"Arkansas State University, Mountain Home",3,3,100.0
514,Blue Mountain College,3,3,100.0
515,Brewton-Parker College,3,3,100.0
516,Community College of Rhode Island,3,3,100.0
517,Central Georgia Technical College,3,2,66.7
518,"Chattanooga College Medical, Dental, & Technical Careers, Chattanooga State of Tennessee, Chattanooga College is the source for that career you have always dreamed of.",3,3,100.0
519,Cowley County Community College,3,3,100.0
520,Criswell College,3,3,100.0
521,East Central College,3,3,100.0
522,Eastern WV Community & Technical College,3,3,100.0
523,East-West University,3,3,100.0
524,ECPI University,3,3,100.0
525,Beauty College,3,3,100.0
526,Full Sail University,3,3,100.0
527,Georgia Northwestern Technical College,3,3,100.0
528,Hong Kong Adventist college,3,3,100.0
529,Indian Hills Community College,3,3,100.0
530,James Sprunt Community College,3,3,100.0
531,Kirkwood Community College,3,3,100.0
532,Advanced Technology Institute,3,3,100.0
533,"Belmont Abbey College, Charlotte, NC",3,3,100.0
534,Bucks County Community College,3,3,100.0
535,Centenary College of Louisiana,3,3,100.0
536,Coastline Community College,3,3,100.0
537,College of the Ozarks,3,3,100.0
538,Columbia Basin College (CBC),3,3,100.0
539,Gemological Institute of America,3,3,100.0
540,KLS Gogte Institute of Technology,3,3,100.0
541,Academic medical center at State University of New York at Stony Brook,3,3,100.0
542,Iowa Central Community College,3,3,100.0
543,Aiken Technical College,3,3,100.0
544,Athens Technical College,3,3,100.0
545,Carthage College,3,3,100.0
546,Concordia University Texas Home Page,3,3,100.0
547,Atlantic University,3,3,100.0
548,Augustana College (SD),3,3,100.0
549,Augusta Technical College,3,2,66.7
550,Auburn University at Montgomery,3,3,100.0
551,Avila College,3,3,100.0
552,"Beacon College for ADHD Students, LD Students and gifted LD",3,3,100.0
553,Beaufort County Community College,3,3,100.0
554,Benedictine University Benedictine University,3,3,100.0
555,Bergen Community College Homepage,3,3,100.0
556,Bethany Divinity College and Seminary,3,3,100.0
557,Bethany College,3,3,100.0
558,Bethel College Newton,3,3,100.0
559,Blue Ridge Community and Technical College,3,2,66.7
560,Cossatot Community College of the University of Arkansas,3,3,100.0
561,Erie Community College,3,3,100.0
562,East Central University,3,3,100.0
563,Francis Marion University,3,3,100.0
564,Fort Scott Community College,3,3,100.0
565,"Bethany Lutheran College is a Christian, liberal arts college in Mankato, Minnesota.",3,3,100.0
566,Bloomsburg University of Pennsylvania,3,3,100.0
567,Blue Ridge Community College,3,3,100.0
568,Global University,3,3,100.0
569,Brazosport College,3,3,100.0
570,Blessing-Rieman College of Nursing,3,3,100.0
571,Brookline College,3,3,100.0
572,Broward College,3,3,100.0
573,Ball State University,3,3,100.0
574,Bucknell University,3,3,100.0
575,Delaware State University,3,3,100.0
576,Cabrillo College Home Page,3,3,100.0
577,Central Alabama Community College,3,3,100.0
578,California Institute of the Arts,3,3,100.0
579,Des Moines University,3,3,100.0
580,"Galen College, Nursing Schools, Nursing Degrees",3,3,100.0
581,Georgia Southern University,3,3,100.0
582,Greenville Technical College,3,3,100.0
583,Hampton University,3,3,100.0
584,Jefferson Davis Community College,3,1,33.3
585,Kutztown University of Pennsylvania,3,3,100.0
586,J Sargeant Reynolds Community College,3,3,100.0
587,California State University System,3,3,100.0
588,Cambridge College,3,3,100.0
589,Camden County College,3,3,100.0
590,Find Your Calling at Campbellsville University,3,3,100.0
591,Canisius College,3,3,100.0
592,College of Eastern Utah,3,3,100.0
593,Clark State Community College,3,3,100.0
594,Dallas College,3,3,100.0
595,Delaware College of Art and Design,3,3,100.0
596,Eastern Kentucky University,3,3,100.0
597,Carolina Christian College Winston,3,3,100.0
598,Coastland Christian Bible College and University,3,3,100.0
599,Community College of Philadelphia,3,3,100.0
600,Central Carolina Technical College,3,3,100.0
601,Colorado Christian University,3,3,100.0
602,Community College of Vermont,3,3,100.0
603,Cecil College,3,3,100.0
604,Claremont Graduate University,3,3,100.0
605,Chaminade University of Honolulu,3,3,100.0
606,Chatham University,3,3,100.0
607,Chattanooga State Community College,3,3,100.0
608,Chestnut Hill College,3,3,100.0
609,Chester College of New England Â· Fine Arts Â· Graphic Design Â· Photography Â· Creative Writing Â· Professional Writing Â· Interdisciplinary Arts Â· Chester,3,2,66.7
610,Cleveland Institute of Art,3,3,100.0
611,Colorado Institute of Massage Therapy,3,3,100.0
612,Cincinnati State Technical and Community College,3,3,100.0
613,Colombo International Nautical & Engineering College (CINEC),3,2,66.7
614,Claremont McKenna College,3,3,100.0
615,Christian Life College,3,2,66.7
616,Cleary College,3,3,100.0
617,Cleveland Community College,3,3,100.0
618,Cleveland State Community College,3,3,100.0
619,Cloud County Community College,3,2,66.7
620,Carson-Newman College,3,3,100.0
621,Colby College,3,3,100.0
622,Colorado Mesa University,3,3,100.0
623,Denver College of Nursing,3,3,100.0
624,College Front Page,3,3,100.0
625,Connecticut College,3,2,66.7
626,"Conservative Theological University, Conservative Christian Academy, First Conservative Baptist Church, Jacksonville, FL",3,3,100.0
627,College of the Sequoias,3,3,100.0
628,College of Southern Maryland,3,3,100.0
629,Cleveland State University,3,3,100.0
630,Cuesta College,3,3,100.0
631,Curry College,3,3,100.0
632,Concordia University Wisconsin,3,3,100.0
633,Chattahoochee Valley Community College,3,3,100.0
634,Central Wyoming College,3,3,100.0
635,Delta College,3,3,100.0
636,Dickinson State University,3,3,100.0
637,Delaware Technical Community College,3,3,100.0
638,Edgecombe Community College,3,3,100.0
639,Independence Community College,3,3,100.0
640,Aviation College and Engineering Degree Program,3,3,100.0
641,Denver's College of Opportunity,3,3,100.0
642,Erikson Institute,3,3,100.0
643,East Texas Baptist University,3,3,100.0
644,"Gonzaga University, Spokane Washington",3,3,100.0
645,Cuyahoga Community College District,3,3,100.0
646,Colorado State University - Global Campus,3,3,100.0
647,Florence-Darlington Technical College,3,3,100.0
648,Florida Education Institute,3,3,100.0
649,Fort Hays State University,3,3,100.0
650,Freed-Hardeman University,3,3,100.0
651,L E Fletcher Technical Community College,3,3,100.0
652,Florida College,3,3,100.0
653,Florida Vedic College,3,3,100.0
654,Florida Metropolitan University (FMU) is now Everest University,3,3,100.0
655,Framingham State University,3,3,100.0
656,Friends University,3,3,100.0
657,Finishing Trades Institute of the Mid,3,3,100.0
658,Fort Valley State University,3,3,100.0
659,Gadsden State Community College,3,3,100.0
660,Goldey-Beacom College,3,3,100.0
661,Grace College & Theological Seminary in Indiana,3,3,100.0
662,Greensboro College,3,3,100.0
663,Georgia Southwestern State University,3,3,100.0
664,Gateway Technical College,3,3,100.0
665,Guam Community College,3,3,100.0
666,Gwinnett College,3,3,100.0
667,Jackson Community College,3,3,100.0
668,Joliet Junior College,3,3,100.0
669,Colleges in Texas Tech Training Schools,3,3,100.0
670,Hendrix College,3,3,100.0
671,FAU Honors College,3,2,66.7
672,Horizon College and Seminary,3,3,100.0
673,Howard Payne University,3,3,100.0
674,HR College of Commerce & Economics,3,3,100.0
675,illinoisbaptistcollege.edu,3,3,100.0
676,Immaculata University,3,2,66.7
