domain,source,name
bids.edu,academic_domains,
bidwelltraining.edu,academic_domains,
bie.edu,academic_domains,
bietdvg.edu,academic_domains,
binus.edu,academic_domains,
bio2.edu,academic_domains,
bioethicsumn.edu,academic_domains,
birginia.edu,academic_domains,
birseit.edu,academic_domains,
birthwisemidwifery.edu,academic_domains,
birtraining.edu,academic_domains,
bishopbrady.edu,academic_domains,
bitmesra.edu,academic_domains,
blackboard.edu,academic_domains,
blair.edu,academic_domains,
blogspot.edu,academic_domains,
bloodchankhigh.edu,academic_domains,
bluecliffcollege.edu,academic_domains,
bluffon.edu,academic_domains,
bmats.edu,academic_domains,
bmg.edu,academic_domains,
bmtc.edu,academic_domains,
bobartsinstitute.edu,academic_domains,
bobjones.edu,academic_domains,
bocabeautyacademy.edu,academic_domains,
bodwell.edu,academic_domains,
bolivarcollege.edu,academic_domains,
bordeaux-bs.edu,academic_domains,
box.edu,academic_domains,
bradfordpittsburgh.edu,academic_domains,
bradfordschoolcolumbus.edu,academic_domains,
brandcollege.edu,academic_domains,
branfordhall.edu,academic_domains,
brasov.edu,academic_domains,
breining.edu,academic_domains,
bremen.edu,academic_domains,
brewster.edu,academic_domains,
briarcliff.edu,academic_domains,
bridge.edu,academic_domains,
bridges.edu,academic_domains,
bridgevalley.edu,academic_domains,
brightoncollege.edu,academic_domains,
brightwood.edu,academic_domains,
brightwoodcareer.edu,academic_domains,
britanico-aragon.edu,academic_domains,
brite.edu,academic_domains,
brook.edu,academic_domains,
brookes.edu,academic_domains,
brookings.edu,academic_domains,
brooklaw.edu,academic_domains,
brookline.edu,academic_domains,
brookwood.edu,academic_domains,
brownbeautybarberschool.edu,academic_domains,
browncollege.edu,academic_domains,
brownell.edu,academic_domains,
browning.edu,academic_domains,
brownson.edu,academic_domains,
brrice.edu,academic_domains,
brsc.edu,academic_domains,
bryanhealthcollege.edu,academic_domains,
bryanu.edu,academic_domains,
bryanuniversity.edu,academic_domains,
bsa.edu,academic_domains,
bse.edu,academic_domains,
bshp.edu,academic_domains,
bsk.edu,academic_domains,
bsp.edu,academic_domains,
bsstlearn.edu,academic_domains,
btech.edu,academic_domains,
bths.edu,academic_domains,
bti.edu,academic_domains,
bua.edu,academic_domains,
buc.edu,academic_domains,
bucharest.edu,academic_domains,
buddhism.edu,academic_domains,
buddhismus.edu,academic_domains,
bufalostate.edu,academic_domains,
buffalostat.edu,academic_domains,
buffalsotate.edu,academic_domains,
bufflao.edu,academic_domains,
burnett.edu,academic_domains,
bush.edu,academic_domains,
bushnell.edu,academic_domains,
busm.edu,academic_domains,
butc.edu,academic_domains,
bvb.edu,academic_domains,
bxscience.edu,academic_domains,
byzcathsem.edu,academic_domains,
c-tec.edu,academic_domains,
ca.edu,academic_domains,
cabarruscollege.edu,academic_domains,
cademia.edu,academic_domains,
cafe.edu,academic_domains,
cahe.edu,academic_domains,
cairn.edu,academic_domains,
caj.edu,academic_domains,
cala.edu,academic_domains,
calaero.edu,academic_domains,
calamuniv.edu,academic_domains,
calbeautycollege.edu,academic_domains,
calc.edu,academic_domains,
calcampus.edu,academic_domains,
calcc.edu,academic_domains,
calchristiancollege.edu,academic_domains,
calcoastuniv.edu,academic_domains,
californiaartclub.edu,academic_domains,
californiacareercollege.edu,academic_domains,
californiacareerschool.edu,academic_domains,
californialanguageschool.edu,academic_domains,
californiamedicalcollege.edu,academic_domains,
californiawestern.edu,academic_domains,
calimt.edu,academic_domains,
calinstitute.edu,academic_domains,
calmu.edu,academic_domains,
calnorthern.edu,academic_domains,
calpolymbatrip.edu,academic_domains,
calums.edu,academic_domains,
calumsva.edu,academic_domains,
camphill.edu,academic_domains,
campusadventiste.edu,academic_domains,
cape.edu,academic_domains,
capecoraltech.edu,academic_domains,
capricollege.edu,academic_domains,
caprinow.edu,academic_domains,
card.edu,academic_domains,
cardean.edu,academic_domains,
cardenal-newman.edu,academic_domains,
career.edu,academic_domains,
careerquest.edu,academic_domains,
careertechnical.edu,academic_domains,
carin.edu,academic_domains,
cariscollege.edu,academic_domains,
carletoncollege.edu,academic_domains,
carnegie-institute.edu,academic_domains,
carnegiescience.edu,academic_domains,
carolinacareercollege.edu,academic_domains,
carolinagrad.edu,academic_domains,
carolinau.edu,academic_domains,
carringtononline.edu,academic_domains,
carvercareercenter.edu,academic_domains,
cas.edu,academic_domains,
casalomacollege.edu,academic_domains,
cascade.edu,academic_domains,
caspn.edu,academic_domains,
cassino.edu,academic_domains,
catc.edu,academic_domains,
catherinehinds.edu,academic_domains,
catholic.edu,academic_domains,
catlin.edu,academic_domains,
cauniv.edu,academic_domains,
cavt.edu,academic_domains,
caycereilly.edu,academic_domains,
cazenovia.edu,academic_domains,
cbet.edu,academic_domains,
cbhs.edu,academic_domains,
cbnu.edu,academic_domains,
ccacademy.edu,academic_domains,
ccal.edu,academic_domains,
ccat.edu,academic_domains,
ccbatlanta.edu,academic_domains,
ccbeu.edu,academic_domains,
ccbs.edu,academic_domains,
cccbcmd.edu,academic_domains,
ccccd.edu,academic_domains,
ccctc.edu,academic_domains,
cceionline.edu,academic_domains,
ccjs.edu,academic_domains,
cclsmiami.edu,academic_domains,
ccmcc.edu,academic_domains,
ccmla.edu,academic_domains,
ccnm.edu,academic_domains,
ccny.edu,academic_domains,
ccr.edu,academic_domains,
ccs.edu,academic_domains,
ccsad.edu,academic_domains,
ccscad.edu,academic_domains,
ccsd.edu,academic_domains,
cctc.edu,academic_domains,
cda.edu,academic_domains,
cdc.edu,academic_domains,
cdi.edu,academic_domains,
cdl.edu,academic_domains,
cds.edu,academic_domains,
cdse.edu,academic_domains,
cdsp.edu,academic_domains,
cea.edu,academic_domains,
ceaprc.edu,academic_domains,
ceconline.edu,academic_domains,
cedars-sinai.edu,academic_domains,
cedoc.edu,academic_domains,
ceea.edu,academic_domains,
cees.edu,academic_domains,
cei.edu,academic_domains,
ceibs.edu,academic_domains,
celebrity.edu,academic_domains,
cemcollege.edu,academic_domains,
cempr.edu,academic_domains,
cen.edu,academic_domains,
censolar.edu,academic_domains,
centenaryuniversity.edu,academic_domains,
center.edu,academic_domains,
centerformassage.edu,academic_domains,
centracollege.edu,academic_domains,
centralcareer.edu,academic_domains,
centralcoastcollege.edu,academic_domains,
centraloc.edu,academic_domains,
centraltech.edu,academic_domains,
centralvirginia.edu,academic_domains,
centura.edu,academic_domains,
centurycollege.edu,academic_domains,
centurylanguage.edu,academic_domains,
centuryuniversity.edu,academic_domains,
cernet.edu,academic_domains,
cesarritzcolleges.edu,academic_domains,
cesma.edu,academic_domains,
cesna.edu,academic_domains,
cet.edu,academic_domains,
cetweb.edu,academic_domains,
cfbisd.edu,academic_domains,
cfi.edu,academic_domains,
cfil.edu,academic_domains,
cga.edu,academic_domains,
cgc.edu,academic_domains,
cgcc.edu,academic_domains,
cgi.edu,academic_domains,
cgms.edu,academic_domains,
cgs.edu,academic_domains,
cgsc.edu,academic_domains,
cgsot.edu,academic_domains,
cgst.edu,academic_domains,
chabad.edu,academic_domains,
chac.edu,academic_domains,
chaipin.edu,academic_domains,
chalcedon.edu,academic_domains,
champion.edu,academic_domains,
chap-col.edu,academic_domains,
chapin.edu,academic_domains,
charlestonlaw.edu,academic_domains,
charlestonsouthern.edu,academic_domains,
charliesacademy.edu,academic_domains,
charlottechristian.edu,academic_domains,
charlottelaw.edu,academic_domains,
chartercollege.edu,academic_domains,
chcp.edu,academic_domains,
chelseaschool.edu,academic_domains,
chemhawaii.edu,academic_domains,
cherylfell.edu,academic_domains,
chestercareercollege.edu,academic_domains,
chicago.edu,academic_domains,
chipola.edu,academic_domains,
chiu.edu,academic_domains,
chivm.edu,academic_domains,
choate.edu,academic_domains,
chob.edu,academic_domains,
choices.edu,academic_domains,
chonnam.edu,academic_domains,
chop.edu,academic_domains,
chp.edu,academic_domains,
chrisbeautycollege.edu,academic_domains,
christian.edu,academic_domains,
christianheritage.edu,academic_domains,
chrysm.edu,academic_domains,
chsu.edu,academic_domains,
chungang.edu,academic_domains,
chw.edu,academic_domains,
ciam.edu,academic_domains,
cias.edu,academic_domains,
ciat.edu,academic_domains,
cibt.edu,academic_domains,
cibu.edu,academic_domains,
cicd99.edu,academic_domains,
cid.edu,academic_domains,
cide.edu,academic_domains,
cie-wc.edu,academic_domains,
cie.edu,academic_domains,
cims.edu,academic_domains,
cintaaveda.edu,academic_domains,
cisl.edu,academic_domains,
cisspat.edu,academic_domains,
cit-liban.edu,academic_domains,
citadel.edu,academic_domains,
cittx.edu,academic_domains,
cityvision.edu,academic_domains,
ciw.edu,academic_domains,
ciwemb.edu,academic_domains,
cjc.edu,academic_domains,
cji.edu,academic_domains,
ckp.edu,academic_domains,
cks.edu,academic_domains,
cl.edu,academic_domains,
cla.edu,academic_domains,
claremontlincoln.edu,academic_domains,
clarkssummitu.edu,academic_domains,
clayotn.edu,academic_domains,
clbi.edu,academic_domains,
clemosn.edu,academic_domains,
clic.edu,academic_domains,
cliffsidepark.edu,academic_domains,
climatechangecornell.edu,academic_domains,
cll.edu,academic_domains,
cloviscollege.edu,academic_domains,
cltcc.edu,academic_domains,
cltech.edu,academic_domains,
cma.edu,academic_domains,
cmch-vellore.edu,academic_domains,
cmctx.edu,academic_domains,
cme.edu,academic_domains,
cmh.edu,academic_domains,
cmn.edu,academic_domains,
cmpr.edu,academic_domains,
cmps.edu,academic_domains,
cms.edu,academic_domains,
cng.edu,academic_domains,
cnri.edu,academic_domains,
cns.edu,academic_domains,
cnsu.edu,academic_domains,
co-op.edu,academic_domains,
co.edu,academic_domains,
coba.edu,academic_domains,
cogr.edu,academic_domains,
cogts.edu,academic_domains,
colburnschool.edu,academic_domains,
collegeofwilmington.edu,academic_domains,
colleges.edu,academic_domains,
collegesoflaw.edu,academic_domains,
collins-cc.edu,academic_domains,
colodo.edu,academic_domains,
coloradoschoolofenglish.edu,academic_domains,
colostate-pueblo.edu,academic_domains,
colstate.edu,academic_domains,
columbiabc.edu,academic_domains,
columbiacentral.edu,academic_domains,
columbiawestcollege.edu,academic_domains,
comillas.edu,academic_domains,
communitycarecollege.edu,academic_domains,
compta.edu,academic_domains,
compumed.edu,academic_domains,
computer.edu,academic_domains,
computertutorbti.edu,academic_domains,
comvnos.edu,academic_domains,
comy.edu,academic_domains,
concordlawschool.edu,academic_domains,
connectenglish.edu,academic_domains,
constanta.edu,academic_domains,
continentalschoolofbeauty.edu,academic_domains,
conval.edu,academic_domains,
conversa.edu,academic_domains,
cooley.edu,academic_domains,
cooleylaw.edu,academic_domains,
coolschool.edu,academic_domains,
cooper.edu,academic_domains,
cooperhealth.edu,academic_domains,
cops.edu,academic_domains,
corban.edu,academic_domains,
corcoran.edu,academic_domains,
cordonbleu.edu,academic_domains,
cornel.edu,academic_domains,
cornerstone.edu,academic_domains,
corona.edu,academic_domains,
cortiva.edu,academic_domains,
cosmix.edu,academic_domains,
cosmobeautyacademy.edu,academic_domains,
cosmopolitan.edu,academic_domains,
cotf.edu,academic_domains,
cottey.edu,academic_domains,
coumbia.edu,academic_domains,
courses.edu,academic_domains,
covenantseminary.edu,academic_domains,
coxcollege.edu,academic_domains,
coynecollege.edu,academic_domains,
cozmo.edu,academic_domains,
cpa.edu,academic_domains,
cpc.edu,academic_domains,
cpchawaii.edu,academic_domains,
cpe.edu,academic_domains,
cpi.edu,academic_domains,
cps.edu,academic_domains,
cqlc.edu,academic_domains,
cranbrook.edu,academic_domains,
cranbrookart.edu,academic_domains,
cranfield.edu,academic_domains,
cras.edu,academic_domains,
crcds.edu,academic_domains,
crds.edu,academic_domains,
creativecenter.edu,academic_domains,
creativecircus.edu,academic_domains,
creativeimages.edu,academic_domains,
creativetouch.edu,academic_domains,
crescent.edu,academic_domains,
crestmem.edu,academic_domains,
crichton.edu,academic_domains,
crimea.edu,academic_domains,
crl.edu,academic_domains,
cs.edu,academic_domains,
csati.edu,academic_domains,
csb.edu,academic_domains,
csbradiotv.edu,academic_domains,
csbs.edu,academic_domains,
csca.edu,academic_domains,
cse.edu,academic_domains,
csf.edu,academic_domains,
csftw.edu,academic_domains,
cshl.edu,academic_domains,
cshs.edu,academic_domains,
csim.edu,academic_domains,
csinow.edu,academic_domains,
csld.edu,academic_domains,
csmc.edu,academic_domains,
cso.edu,academic_domains,
cspnohio.edu,academic_domains,
cst.edu,academic_domains,
cstcm.edu,academic_domains,
csum.edu,academic_domains,
csumentor.edu,academic_domains,
csuspur.edu,academic_domains,
csw.edu,academic_domains,
cta.edu,academic_domains,
ctclc.edu,academic_domains,
ctcpr.edu,academic_domains,
cte.edu,academic_domains,
ctgu.edu,academic_domains,
ctsfw.edu,academic_domains,
cttc.edu,academic_domains,
ctu.edu,academic_domains,
ctx.edu,academic_domains,
cu.edu,academic_domains,
cuk.edu,academic_domains,
culinaryarts.edu,academic_domains,
culinarycenter.edu,academic_domains,
culinaryinstitute.edu,academic_domains,
culinarytechcenter.edu,academic_domains,
cumber.edu,academic_domains,
cumberlandcollege.edu,academic_domains,
cumt.edu,academic_domains,
cunef.edu,academic_domains,
cunisanjuan.edu,academic_domains,
cuonline.edu,academic_domains,
cure.edu,academic_domains,
cursus.edu,academic_domains,
cusat.edu,academic_domains,
cusys.edu,academic_domains,
cuts.edu,academic_domains,
cva.edu,academic_domains,
cvc.edu,academic_domains,
cvccworks.edu,academic_domains,
cvcs.edu,academic_domains,
cvtech.edu,academic_domains,
cwi.edu,academic_domains,
cwpost.edu,academic_domains,
cwsl.edu,academic_domains,
cwts.edu,academic_domains,
cybertex.edu,academic_domains,
cyttl.edu,academic_domains,
daarulbror_berbagi.edu,academic_domains,
dadc.edu,academic_domains,
dalecarnegie.edu,academic_domains,
dalecarnegiemichigan.edu,academic_domains,
damascusuniversity.edu,academic_domains,
damien-hs.edu,academic_domains,
damien.edu,academic_domains,
danville.edu,academic_domains,
daoisttraditions.edu,academic_domains,
darden.edu,academic_domains,
darmouth.edu,academic_domains,
das.edu,academic_domains,
davisandelkins.edu,academic_domains,
davistech.edu,academic_domains,
dayanandasagar.edu,academic_domains,
daytonbarbercollege.edu,academic_domains,
dbi.edu,academic_domains,
dbidownriver.edu,academic_domains,
dbs.edu,academic_domains,
dcds.edu,academic_domains,
dcita.edu,academic_domains,
dcl.edu,academic_domains,
dcs.edu,academic_domains,
dda.edu,academic_domains,
de.edu,academic_domains,
dec.edu,academic_domains,
dedalo.edu,academic_domains,
deerfield.edu,academic_domains,
deharttech.edu,academic_domains,
delhi.edu,academic_domains,
dellarte.edu,academic_domains,
deltatech.edu,academic_domains,
demar.edu,academic_domains,
denmarkcollege.edu,academic_domains,
dension.edu,academic_domains,
denverschoolofnursing.edu,academic_domains,
dermalogica.edu,academic_domains,
desertinstitute.edu,academic_domains,
designsschool.edu,academic_domains,
devalcol.edu,academic_domains,
devitt.edu,academic_domains,
devry-phx.edu,academic_domains,
dewey.edu,academic_domains,
dgu.edu,academic_domains,
dhs.edu,academic_domains,
dialnsa.edu,academic_domains,
dickenson.edu,academic_domains,
digitalfilmacademy.edu,academic_domains,
diku.edu,academic_domains,
dinecollege.edu,academic_domains,
dinus.edu,academic_domains,
diplomacy.edu,academic_domains,
discoverydiving.edu,academic_domains,
disl.edu,academic_domains,
distance-learning.edu,academic_domains,
distlearn.edu,academic_domains,
dit.edu,academic_domains,
diu.edu,academic_domains,
diversacademy.edu,academic_domains,
divinemercy.edu,academic_domains,
dixietech.edu,academic_domains,
dku.edu,academic_domains,
dlielc.edu,academic_domains,
dmi.edu,academic_domains,
dmtc.edu,academic_domains,
dodea.edu,academic_domains,
dolphininstitute.edu,academic_domains,
dongguk.edu,academic_domains,
donnelly.edu,academic_domains,
doral.edu,academic_domains,
dorcas.edu,academic_domains,
dorsey.edu,academic_domains,
douglasj.edu,academic_domains,
doxa.edu,academic_domains,
dpu.edu,academic_domains,
dragonrises.edu,academic_domains,
